TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,AUC,Model,Fold
6,18,18,2,8,36,0.75,0.5,0.5,0.25,0.5454545454545454,0.625,0.25,0.75,0.375,0.4545454545454546,0.25,0.140625,0.24563817388899417,-0.651234391142683,0.7916666666666667,GRU,1
0,34,0,4,4,34,0.0,1.0,0.0,1.0,0.8947368421052632,0.5,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.09064489846796953,0.0375644603842058,0.6544117647058824,GRU,2
5,22,9,0,5,31,1.0,0.7096774193548387,0.2903225806451613,0.0,0.75,0.8548387096774194,0.35714285714285715,1.0,0.5263157894736842,0.25,0.7096774193548387,0.40441176470588236,0.12087699424120836,-0.010687642171651746,0.9290322580645162,GRU,3
5,21,10,0,5,31,1.0,0.6774193548387096,0.3225806451612903,0.0,0.7222222222222222,0.8387096774193548,0.3333333333333333,1.0,0.5,0.2777777777777778,0.6774193548387097,0.3684210526315789,0.13769838794709674,-0.1513361985770152,0.9096774193548387,GRU,4
2,21,10,3,5,31,0.4,0.6774193548387096,0.3225806451612903,0.6,0.6388888888888888,0.5387096774193548,0.16666666666666666,0.4,0.23529411764705882,0.36111111111111116,0.07741935483870971,0.04878048780487805,0.16460030751904972,-0.37627095835282853,0.7290322580645161,GRU,5
5,9,19,1,6,28,0.8333333333333334,0.32142857142857145,0.6785714285714286,0.16666666666666666,0.4117647058823529,0.5773809523809524,0.20833333333333334,0.8333333333333334,0.33333333333333337,0.5882352941176471,0.15476190476190477,0.07103825136612021,0.39349120120213155,-1.7075942177956192,0.5297619047619048,GRU,6
4,15,9,0,4,24,1.0,0.625,0.375,0.0,0.6785714285714286,0.8125,0.3076923076923077,1.0,0.47058823529411764,0.3214285714285714,0.625,0.3225806451612903,0.16020159879347373,-0.30831305681336874,0.9583333333333334,GRU,7
5,3,20,0,5,23,1.0,0.13043478260869565,0.8695652173913043,0.0,0.2857142857142857,0.5652173913043478,0.2,1.0,0.33333333333333337,0.7142857142857143,0.13043478260869568,0.05084745762711865,0.3247186037792186,-1.2137337857644117,0.8434782608695652,GRU,8
5,11,12,0,5,23,1.0,0.4782608695652174,0.5217391304347826,0.0,0.5714285714285714,0.7391304347826086,0.29411764705882354,1.0,0.45454545454545453,0.4285714285714286,0.4782608695652174,0.24663677130044842,0.22777407908627947,-0.5528250261186356,0.9391304347826087,GRU,9
1,19,6,0,1,25,1.0,0.76,0.24,0.0,0.7692307692307693,0.88,0.14285714285714285,1.0,0.25,0.23076923076923073,0.76,0.1958762886597938,0.15045733532566175,-3.0683663472058935,1.0,GRU,10
