TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,AUC,Model,Fold
6,36,0,2,8,36,0.75,1.0,0.0,0.25,0.9545454545454546,0.875,1.0,0.75,0.8571428571428571,0.045454545454545414,0.75,0.8307692307692308,0.06007323232323232,0.5961743827160494,0.907986111111111,RandomForest,1
0,34,0,4,4,34,0.0,1.0,0.0,1.0,0.8947368421052632,0.5,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.04825263157894737,0.48767058823529397,0.9852941176470588,RandomForest,2
5,30,1,0,5,31,1.0,0.967741935483871,0.03225806451612903,0.0,0.9722222222222222,0.9838709677419355,0.8333333333333334,1.0,0.9090909090909091,0.02777777777777779,0.967741935483871,0.8928571428571429,0.044695987654320986,0.6262838709677421,0.9870967741935484,RandomForest,3
3,28,3,2,5,31,0.6,0.9032258064516129,0.0967741935483871,0.4,0.8611111111111112,0.7516129032258064,0.5,0.6,0.5454545454545454,0.13888888888888884,0.5032258064516129,0.4642857142857143,0.09618641975308642,0.1957574193548388,0.8903225806451613,RandomForest,4
5,29,2,0,5,31,1.0,0.9354838709677419,0.06451612903225806,0.0,0.9444444444444444,0.967741935483871,0.7142857142857143,1.0,0.8333333333333333,0.05555555555555558,0.935483870967742,0.8011049723756906,0.03925092592592593,0.6718116129032259,0.9870967741935484,RandomForest,5
5,28,0,1,6,28,0.8333333333333334,1.0,0.0,0.16666666666666666,0.9705882352941176,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.02941176470588236,0.8333333333333334,0.89171974522293,0.04992058823529412,0.6564988095238096,1.0,RandomForest,6
2,23,1,2,4,24,0.5,0.9583333333333334,0.041666666666666664,0.5,0.8928571428571429,0.7291666666666667,0.6666666666666666,0.5,0.5714285714285715,0.1071428571428571,0.4583333333333333,0.5116279069767442,0.06408214285714285,0.4766625,0.9583333333333334,RandomForest,7
0,23,0,5,5,23,0.0,1.0,0.0,1.0,0.8214285714285714,0.5,0.0,0.0,0.0,0.1785714285714286,0.0,0.0,0.10722936507936509,0.268975458937198,1.0,RandomForest,8
1,23,0,4,5,23,0.2,1.0,0.0,0.8,0.8571428571428571,0.6,1.0,0.2,0.33333333333333337,0.1428571428571429,0.2,0.2911392405063291,0.06583214285714285,0.5511965217391305,0.991304347826087,RandomForest,9
0,25,0,1,1,25,0.0,1.0,0.0,1.0,0.9615384615384616,0.5,0.0,0.0,0.0,0.038461538461538436,0.0,0.0,0.09399188034188032,-1.5415404444444438,0.31999999999999995,RandomForest,10
