TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,AUC,Model,Fold
6,36,0,2,8,36,0.75,1.0,0.0,0.25,0.9545454545454546,0.875,1.0,0.75,0.8571428571428571,0.045454545454545414,0.75,0.8307692307692308,0.046905757532434735,0.6846890743652998,0.9340277777777778,SVM,1
0,34,0,4,4,34,0.0,1.0,0.0,1.0,0.8947368421052632,0.5,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0912707093396872,0.030919821422732863,0.9705882352941176,SVM,2
5,29,2,0,5,31,1.0,0.9354838709677419,0.06451612903225806,0.0,0.9444444444444444,0.967741935483871,0.7142857142857143,1.0,0.8333333333333333,0.05555555555555558,0.935483870967742,0.8011049723756906,0.04300087700509029,0.640457183234858,0.9935483870967742,SVM,3
4,28,3,1,5,31,0.8,0.9032258064516129,0.0967741935483871,0.2,0.8888888888888888,0.8516129032258064,0.5714285714285714,0.8,0.6666666666666666,0.11111111111111116,0.7032258064516129,0.6022099447513812,0.08332836766817758,0.303267325819625,0.9419354838709678,SVM,4
4,29,2,1,5,31,0.8,0.9354838709677419,0.06451612903225806,0.2,0.9166666666666666,0.8677419354838709,0.6666666666666666,0.8,0.7272727272727272,0.08333333333333337,0.735483870967742,0.6785714285714286,0.04218818491205899,0.6472523377675585,0.9806451612903226,SVM,5
6,26,2,0,6,28,1.0,0.9285714285714286,0.07142857142857142,0.0,0.9411764705882353,0.9642857142857143,0.75,1.0,0.8571428571428571,0.05882352941176472,0.9285714285714286,0.8210526315789474,0.053715995933454816,0.6303827898864657,1.0,SVM,6
3,23,1,1,4,24,0.75,0.9583333333333334,0.041666666666666664,0.25,0.9285714285714286,0.8541666666666667,0.75,0.75,0.75,0.0714285714285714,0.7083333333333334,0.7083333333333334,0.06736864301363193,0.4498227487220059,0.96875,SVM,7
0,23,0,5,5,23,0.0,1.0,0.0,1.0,0.8214285714285714,0.5,0.0,0.0,0.0,0.1785714285714286,0.0,0.0,0.1668811573556816,-0.13769415101612492,0.8260869565217392,SVM,8
4,23,0,1,5,23,0.8,1.0,0.0,0.2,0.9642857142857143,0.9,1.0,0.8,0.888888888888889,0.0357142857142857,0.8,0.8679245283018868,0.043531487941367776,0.7032288126431971,0.991304347826087,SVM,9
0,25,0,1,1,25,0.0,1.0,0.0,1.0,0.9615384615384616,0.5,0.0,0.0,0.0,0.038461538461538436,0.0,0.0,0.040042217228891945,-0.0827415538692382,0.28,SVM,10
